date,round,group,home,away,home_goals,away_goals,extra_time,pk_home,pk_away,stadium,referee,notes
1/6/1978,Primera ronda,2,Alemania Occidental,Polonia,0,0,,,,Estadio Monumental Antonio Vespucio Liberti,Angel Norberto Coerezza,
2/6/1978,Primera ronda,1,Italia,Francia,2,1,,,,Estadio Jose Maria Minella,Nicolae Rainea,
2/6/1978,Primera ronda,1,Argentina,Hungría,2,1,,,,Estadio Monumental Antonio Vespucio Liberti,Antonio Garrido,
2/6/1978,Primera ronda,2,Túnez,México,3,1,,,,Estadio Gigante de Arroyito,John Gordon,
3/6/1978,Primera ronda,3,Austria,España,2,1,,,,Estadio Jose Amalfitani,Karoly Palotai,
3/6/1978,Primera ronda,3,Brasil,Suecia,1,1,,,,Estadio Jose Maria Minella,Clive Thomas,
3/6/1978,Primera ronda,4,Perú,Escocia,3,1,,,,Estadio Chateau Carreras,Ulf Eriksson,
3/6/1978,Primera ronda,4,Holanda,Irán,3,0,,,,Estadio Ciudad de Mendoza,Alfonso Gonzalez Archundia,
6/6/1978,Primera ronda,1,Italia,Hungría,3,1,,,,Estadio Jose Maria Minella,Ramon Barreto,
6/6/1978,Primera ronda,1,Argentina,Francia,2,1,,,,Estadio Monumental Antonio Vespucio Liberti,Jean Dubach,
6/6/1978,Primera ronda,2,Alemania Occidental,México,6,0,,,,Estadio Gigante de Arroyito,Farouk Bouzo,
6/6/1978,Primera ronda,2,Polonia,Túnez,1,0,,,,Estadio Gigante de Arroyito,Angel Franco Martinez,
7/6/1978,Primera ronda,3,Austria,Suecia,1,0,,,,Estadio Jose Amalfitani,Charles Corver,
7/6/1978,Primera ronda,3,Brasil,España,0,0,,,,Estadio Jose Maria Minella,Sergio Gonella,
7/6/1978,Primera ronda,4,Escocia,Irán,1,1,,,,Estadio Chateau Carreras,Youssou N'Diaye,
7/6/1978,Primera ronda,4,Holanda,Perú,0,0,,,,Estadio Ciudad de Mendoza,Adolf Prokop,
10/6/1978,Primera ronda,1,Francia,Hungría,3,1,,,,Estadio Jose Maria Minella,Arnaldo Cezar Coelho,
10/6/1978,Primera ronda,1,Argentina,Italia,0,1,,,,Estadio Monumental Antonio Vespucio Liberti,Abraham Klein,
10/6/1978,Primera ronda,2,Alemania Occidental,Túnez,0,0,,,,Estadio Olimpico Chateau Carreras,Cesar Guerrero Orosco,
10/6/1978,Primera ronda,2,Polonia,México,3,1,,,,Estadio Gigante de Arroyito,Jafar Namdar,
11/6/1978,Primera ronda,3,España,Suecia,1,0,,,,Estadio Jose Amalfitani,Ferdinand Biwersi,
11/6/1978,Primera ronda,3,Brasil,Austria,1,0,,,,Estadio Jose Maria Minella,Robert Wurtz,
11/6/1978,Primera ronda,4,Perú,Irán,4,1,,,,Estadio Chateau Carreras,Alojzy Jarguz,
11/6/1978,Primera ronda,4,Escocia,Holanda,3,2,,,,Estadio Ciudad de Mendoza,Erich Linemayr,
14/6/1978,Segunda ronda,A,Austria,Holanda,1,5,,,,Estadio Chateau Carreras,John Gordon,
14/6/1978,Segunda ronda,A,Italia,Alemania Occidental,0,0,,,,Estadio Monumental Antonio Vespucio Liberti,Dusan Maksimovic,
14/6/1978,Segunda ronda,B,Perú,Brasil,0,3,,,,Estadio Ciudad de Mendoza,Nicolae Rainea,
14/6/1978,Segunda ronda,B,Argentina,Polonia,2,0,,,,Estadio Gigante de Arroyito,Ulf Eriksson,
18/6/1978,Segunda ronda,A,Holanda,Alemania Occidental,2,2,,,,Estadio Chateau Carreras,Ramon Barreto,
18/6/1978,Segunda ronda,A,Italia,Austria,1,0,,,,Estadio Monumental Antonio Vespucio Liberti,Francis Rion,
18/6/1978,Segunda ronda,B,Perú,Polonia,0,1,,,,Estadio Ciudad de Mendoza,Pat Partridge,
18/6/1978,Segunda ronda,B,Argentina,Brasil,0,0,,,,Estadio Gigante de Arroyito,Karoly Palotai,
21/6/1978,Segunda ronda,A,Austria,Alemania Occidental,3,2,,,,Estadio Chateau Carreras,Abraham Klein,
21/6/1978,Segunda ronda,A,Italia,Holanda,1,2,,,,Estadio Monumental Antonio Vespucio Liberti,Angel Franco Martinez,
21/6/1978,Segunda ronda,B,Polonia,Brasil,1,3,,,,Estadio Ciudad de Mendoza,Juan Silvagno Cavanna,
21/6/1978,Segunda ronda,B,Argentina,Perú,6,0,,,,Estadio Gigante de Arroyito,Robert Wurtz,
24/6/1978,Tercer puesto,,Brasil,Italia,2,1,,,,Estadio Monumental Antonio Vespucio Liberti,Abraham Klein,
25/6/1978,Final,,Holanda,Argentina,1,3,y,,,Estadio Monumental Antonio Vespucio Liberti,Sergio Gonella,
